lat,lon,prefecture,city
34.497963,135.549705,大阪府,大阪狭山市
34.4984,133.962002,岡山県,玉野市
34.500355,135.791224,奈良県,橿原市
34.502827,135.708352,奈良県,葛城市
34.504502,135.740186,奈良県,大和高田市
34.505376,134.891904,兵庫県,淡路市
34.507019,130.970136,山口県,長門市
34.507148,133.595412,岡山県,浅口市
34.512117,137.201269,愛知県,田原市
34.514868,133.557986,岡山県,里庄町
34.515035,131.81929,島根県,津和野町
34.517123,136.120004,奈良県,曽爾村
34.517498,135.882865,奈良県,桜井市
34.519101,136.726801,三重県,伊勢市
34.51916,135.648952,大阪府,太子町
34.5206,135.449632,大阪府,堺市
34.52545,135.501992,大阪府,堺市中区
34.52556,132.519311,広島県,広島市安佐北区
34.52835,134.182303,香川県,土庄町
34.530189,135.421412,大阪府,高石市
34.531408,135.99685,奈良県,宇陀市
34.533008,135.348758,大阪府,泉大津市
34.534655,135.531702,大阪府,大阪狭山市東区
34.535209,135.562881,大阪府,大阪狭山市美原区
34.542163,133.743969,岡山県,倉敷市
34.542259,138.266627,静岡県,御前崎市
34.54639,138.743595,静岡県,南伊豆町
34.547419,135.68995,奈良県,香芝市
34.552796,135.744913,奈良県,広陵町
34.553735,135.613314,大阪府,羽曳野市
34.55385,135.400709,大阪府,高石市西区
34.559621,135.794107,奈良県,田原本町
34.565586,135.71662,奈良県,上牧町
34.566822,139.290002,東京都,利島村
34.56819,135.515656,大阪府,松原市北区
34.571496,135.773301,奈良県,三宅町
34.571532,135.604432,大阪府,藤井寺市
34.573213,138.993357,静岡県,下田市
34.57549,135.731273,奈良県,河合町
34.57663,135.553378,大阪府,松原市
34.5769,135.644749,大阪府,柏原市
34.576992,135.445403,大阪府,高石市堺区
34.58111,133.941063,岡山県,玉野市南区
34.585874,135.693513,奈良県,王寺町
34.588129,135.772705,奈良県,川西町
34.590938,137.536415,静岡県,湖西市
34.596573,135.8689,奈良県,天理市
34.600552,135.681124,奈良県,三郷町
34.603164,137.38991,愛知県,豊橋市
34.604014,135.754559,奈良県,安堵町
34.605372,136.675636,三重県,明和町
34.605464,135.505419,大阪府,松原市住吉区
34.60578,132.260513,広島県,安芸太田町
34.606387,137.688214,静岡県,湖西市中央区
34.608827,131.486227,山口県,阿武町
34.609118,133.82061,岡山県,早島町
34.610909,133.014643,広島県,世羅町
34.615618,135.564033,大阪府,松原市平野区
34.616185,135.069131,兵庫県,神戸市垂水区
34.617054,135.613074,大阪府,八尾市
34.617076,136.117513,三重県,名張市
